tweet_id,name,text,created_at,favourite_count,hashtags
1453957548168531975,CNN,"From Bela Lugosi's definitive Dracula to the Staten Island-dwelling nitwits of the FX series ""What We Do in the Shadows,"" these are the most influential, deeply entertaining and, yes, sparkliest vampires we've seen onscreen. https://t.co/742b2LxnNR",2021-10-29 05:31:07+00:00,132,[]
1453953475004436484,CNN,"Florida Gov. Ron DeSantis announced that the state has officially filed a new lawsuit in Tampa against the Biden administration over the President's order imposing a vaccine mandate on federal contractors, set to take effect December 8. https://t.co/MXrvJMLKfi",2021-10-29 05:14:56+00:00,631,[]
1453950002905055233,CNN,"Ellidy Pullin, the partner of Australian Olympic snowboarder Alex ""Chumpy"" Pullin, has given birth to their daughter 15 months after his death last year. https://t.co/wEOBL5HzhI",2021-10-29 05:01:08+00:00,435,[]
1453948485762314246,CNN,New Zealand said it would begin easing Covid-19 restrictions that have been in place on its national borders since March 2020. https://t.co/QQc2tdzsh9,2021-10-29 04:55:06+00:00,154,[]
1453946979864625160,CNN,"A Texas Republican lawmaker has launched an inquiry to identify books at public school libraries and classrooms on the subjects of race or sex that might ""make students feel discomfort."" https://t.co/OYDLFDGdY7",2021-10-29 04:49:07+00:00,208,[]
1453945710655668228,CNN,"""No amount of corporate re-branding should let Zuck or anyone else off the hook for the real, tangible harms their product has manifested and continues to propagate without consequence,"" writes @allisondmorrow | Analysis https://t.co/3l7sLd1VQb",2021-10-29 04:44:05+00:00,680,[]
1453945205900513288,CNN,"President Biden has announced the appointment of Sara Minkara as the US special adviser on international disability rights, filling a role that was created by former President Barack Obama and left vacant during the Trump administration.  https://t.co/qv8kFziEZL",2021-10-29 04:42:04+00:00,310,[]
1453943689600897030,CNN,"if you were to judge Rupert Murdoch by the content featured in his most prominent media organizations this week, you would be forgiven if you were to arrive at the conclusion that he subscribes to such conspiratorial views. https://t.co/jv0vFoz7q6",2021-10-29 04:36:03+00:00,167,[]
1453942447927562247,CNN,A first-of-its-kind treatment partially restored a blind patient's vision by combining gene therapy with specialized goggles. https://t.co/XwYI5gAbkA https://t.co/c8o0HZmf2y,2021-10-29 04:31:07+00:00,197,[]
1453940184551100416,CNN,Amazon and Apple reported revenue results on Thursday that fell short of Wall Street analysts' expectations and warned that supply chain issues could weigh on business in the December quarter. https://t.co/tqvoGGAblL,2021-10-29 04:22:07+00:00,78,[]
1453939938089598977,CNN,Whole Foods shoppers may have received a shock this week if they noticed a new $9.95 delivery fee on orders placed through Amazon Prime. Walmart didn't waste any time trolling its retail rival. https://t.co/4OwXDflQP8,2021-10-29 04:21:08+00:00,123,[]
1453939685487562759,CNN,"Former Justice Department official Jeffrey Clark will not testify Friday before the House select committee investigating the January 6 insurrection, according to a committee aide and a source with knowledge of the matter. https://t.co/AMd6iI479x",2021-10-29 04:20:08+00:00,90,[]
1453939171177816064,CNN,"""New Hampshire Gov. Chris Sununu said recently that he would make a decision on whether to run for Senate in 2022 'in the next few weeks.' That decision has implications well beyond the Granite State,"" writes @ChrisCillizza | Analysis https://t.co/L2D6vNxAXi",2021-10-29 04:18:05+00:00,69,[]
1453938911156207617,CNN,"""Dangerous falsehoods, spreading like an invasive species, are emerging as a great challenge to society in 2021,"" writes @zbyronwolf | Analysis https://t.co/JfV3SidO6a",2021-10-29 04:17:03+00:00,151,[]
1453938424935698437,CNN,"A close-up of a gull's eye is the overall winner of this year's British Ecological Society photography competition.

Here's a look at some of the mesmerizing images. https://t.co/FuH7JDhcCS https://t.co/MSo9kycZof",2021-10-29 04:15:08+00:00,278,[]
1453937150584442892,CNN,"Sen. Mitt Romney laced up his boots and put on his best Ted Lasso for Halloween, fake mustache and all.

Completing the look was Romney-as-Ted paying a visit to Sen. Kyrsten Sinema for ""biscuits with the boss."" https://t.co/sBK2MM1S2G",2021-10-29 04:10:04+00:00,173,[]
1453934910838743045,CNN,"Already massively wealthy, America's billionaires saw their collective fortunes soar more than 70% to more than $5 trillion during the pandemic. https://t.co/rrAaqSOAKQ",2021-10-29 04:01:10+00:00,538,[]
1453934124599848963,CNN,"""We believe Facebook has a responsibility to make sure its products do no harm, and until they do, Patagonia will continue to withhold our advertising,"" Patagonia CEO Ryan Gellert said in a statement https://t.co/orixSezOe4",2021-10-29 03:58:02+00:00,3035,[]
1453933877035245568,CNN,The US Department of Education has filed a complaint against Florida's Education Department for its decision to reduce funding for certain school districts amid an ongoing battle over school mask mandate policies. https://t.co/eaeUq3UTSP,2021-10-29 03:57:03+00:00,311,[]
1453931849248649217,CNN,"Sen. Mitt Romney wore a Ted Lasso costume and trolled Democrats with a message calling Sen. Kyrsten Sinema ""the boss"" for her role in the infrastructure bill negotiation. https://t.co/8WfhqcxIkW https://t.co/GR1bU9AiqF",2021-10-29 03:49:00+00:00,201,[]
1453926326969249795,CNN,After Team Canada's six-year Lululemon partnership announcement — which also included the unveiling of the 2022 Olympic and Paralympic opening and closing ceremony uniforms — Ralph Lauren has released what US athletes will wear for their closing looks. https://t.co/5RKhlPOarV,2021-10-29 03:27:03+00:00,117,[]
1453923284492472321,CNN,"The photos include images of a red snail feeding on a fungus in India, a recently discovered bug that lives in caves in Spain, and a green lynx spider with a bumblebee it has just caught. https://t.co/KRKpQzw1H6",2021-10-29 03:14:58+00:00,122,[]
1453922887811747840,CNN,"RT @DonLemonTonight: “Watching George Floyd call for his mom just broke my heart.”
 
Jurors from the Derek Chauvin murder trial speak exclu…",2021-10-29 03:13:23+00:00,0,[]
